years,Austria_trend_Climate-related_economic_losses_EUR_per_capita,EU_trend_Climate-related_economic_losses_EUR_per_capita,Belgium_trend_Climate-related_economic_losses_EUR_per_capita,Bulgaria_trend_Climate-related_economic_losses_EUR_per_capita,Cyprus_trend_Climate-related_economic_losses_EUR_per_capita,Czechia_trend_Climate-related_economic_losses_EUR_per_capita,Germany_trend_Climate-related_economic_losses_EUR_per_capita,Denmark_trend_Climate-related_economic_losses_EUR_per_capita,Estonia_trend_Climate-related_economic_losses_EUR_per_capita,Greece_trend_Climate-related_economic_losses_EUR_per_capita,Spain_trend_Climate-related_economic_losses_EUR_per_capita,Finland_trend_Climate-related_economic_losses_EUR_per_capita,France_trend_Climate-related_economic_losses_EUR_per_capita,Croatia_trend_Climate-related_economic_losses_EUR_per_capita,Hungary_trend_Climate-related_economic_losses_EUR_per_capita,Ireland_trend_Climate-related_economic_losses_EUR_per_capita,Iceland_trend_Climate-related_economic_losses_EUR_per_capita,Italy_trend_Climate-related_economic_losses_EUR_per_capita,Liechtenstein_trend_Climate-related_economic_losses_EUR_per_capita,Lithuania_trend_Climate-related_economic_losses_EUR_per_capita,Luxembourg_trend_Climate-related_economic_losses_EUR_per_capita,Latvia_trend_Climate-related_economic_losses_EUR_per_capita,Malta_trend_Climate-related_economic_losses_EUR_per_capita,Netherlands_trend_Climate-related_economic_losses_EUR_per_capita,Norway_trend_Climate-related_economic_losses_EUR_per_capita,Poland_trend_Climate-related_economic_losses_EUR_per_capita,Portugal_trend_Climate-related_economic_losses_EUR_per_capita,Romania_trend_Climate-related_economic_losses_EUR_per_capita,Sweden_trend_Climate-related_economic_losses_EUR_per_capita,Slovenia_trend_Climate-related_economic_losses_EUR_per_capita,Slovakia_trend_Climate-related_economic_losses_EUR_per_capita,Turkiye_trend_Climate-related_economic_losses_EUR_per_capita
1990,12.8681857551,26.4181963225,14.5976188926,0.0,4.1386588676,1.1032234932,16.8204589051,21.6497414188,0.0,46.9657515815,100.2101456849,34.3131189422,27.6286882395,0.0,29.2655052233,11.1270032163,0.0,31.1005577649,0.0,1.1628416388,203.2211601414,3.1166088592,0.0,20.9544052741,19.5215200002,9.8397351175,12.2605756981,0.0,0.2453604959,97.9400558814,0.0,0.4152973366
1991,15.2548888179,25.4748804021,14.5434757968,0.0,4.0329017568,1.1058751265,16.2846713526,5.8397865238,0.0,46.4053670147,90.3163281081,34.1262211443,29.8704334454,0.0,29.2671640928,11.2329825266,0.0,29.944402533,0.0,0.0,200.5167958656,0.0,0.0,20.7899269785,18.8186399332,9.8624195093,12.2888666783,1.6868718114,0.2436937002,98.9782582927,0.0,0.4766513805
1992,15.0624133608,24.9447328073,14.4845904863,0.0,3.9270228258,1.1047450447,16.5532608299,26.627373404,0.0,46.0522349085,81.6851149398,33.9350002935,31.2569207558,0.0,45.0462570379,11.1566055817,0.0,24.5928105433,0.0,20.1885671631,197.8708484733,0.0,0.0,20.9231116151,35.5076438252,7.684354053,12.2783294318,1.7021811258,0.2422685473,120.1103131583,0.0,0.7397662965
1993,14.9640136343,21.5668886868,14.4281184692,0.0,3.8333269445,1.1035972915,18.2191506044,26.5388075615,0.0,45.8681610624,43.8908691495,33.7712010014,30.239786762,0.0,45.0976551054,13.0024067035,0.0,24.9719254993,0.0,21.4250044737,200.0125794075,0.0,0.0,22.2623811278,37.0826376957,6.8640232828,3.9138255889,1.7044995273,0.2408654364,140.7307959951,0.0,0.7258209266
1994,14.944334245,24.4278620937,14.383719883,0.0,3.7548578473,1.1031987247,15.9445768718,26.4493352132,0.0,51.2987730718,34.8882710578,26.4526712383,50.7247710807,0.0,45.1594284446,21.3069012635,0.0,33.3477589307,0.0,21.5742120081,197.3071911646,0.0,0.0,22.1480587652,38.0481264987,6.8547436746,3.9033080536,1.7641719208,0.2391596613,146.3223625909,0.0,0.7123855248
1995,14.9214710406,25.2115730069,15.6163511384,0.0,3.6873949477,1.0070441772,15.236651521,26.3119024767,0.0,51.0596655814,40.305557968,26.3519056187,52.7291753417,0.0,45.2223431873,21.1979413889,0.0,34.3605233404,0.0,21.7409155213,198.7152034261,0.0,0.0,32.7446667658,49.5276180129,2.8190181536,0.0,1.9705284763,0.1246185116,150.5624482379,0.0,0.885534528
1996,14.98928825,25.2180423155,15.585867645,0.0,3.6290889626,1.9388785972,15.5197780973,26.1634170449,0.0,50.8540079934,44.8961304745,26.2656030073,53.8823556325,0.0,15.856485904,20.4535520177,7.065403323,34.4616657804,0.0,21.9068511803,196.0287283481,0.0,0.0,32.5939322744,50.2586425693,2.8168744241,1.1923753558,1.9762143373,0.1244203426,150.6566336188,0.0,0.8694803634
1997,13.5541471235,25.0058587471,15.5481967088,0.0,3.5780095533,54.1530382329,16.267492232,26.0549166498,0.0,44.9477871235,38.5197347735,0.1361911423,50.1432084082,0.0,16.1119698331,21.0659765155,7.0077601723,22.3834008327,0.0,22.0690843456,193.5868399094,0.0,0.0,32.4265805716,40.0439757312,18.1683357629,1.7509190099,4.0037283002,0.1808714431,155.8443389481,2.8607036105,0.8538447552
1998,13.5392825359,25.4668354259,15.662047898,0.0,0.0,55.5351938384,17.0145975131,25.9604665644,0.0,53.2437405724,35.7353208543,0.1358300711,50.0993318385,0.3750990703,16.6852220362,16.2415667752,6.933117312,22.4525233775,0.0,22.2295412854,191.1937838474,0.0,0.0,38.3136176516,38.4748697045,18.1644275641,1.742092377,6.2424069228,0.1807710654,172.1815738466,4.9345925325,4.5450280483
1999,15.8527106759,32.7452819926,16.4280380063,0.0,0.0,55.5919664406,21.6174756024,102.3150254266,0.0,53.0492492913,43.5562295919,0.1355151531,76.1717409552,0.3767231205,28.1806256001,20.5071607277,6.8497842318,24.3251860446,62.0713199466,22.416193231,188.6288402346,0.0418325677,0.0,38.0594896765,37.6520115923,18.217668469,1.7322663877,10.6265385786,2.4949553358,173.3697419877,13.9176652422,4.4680277791
