years,Austria_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,EU_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Belgium_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Bulgaria_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Cyprus_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Czechia_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Germany_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Denmark_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Estonia_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Greece_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Spain_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Finland_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,France_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Croatia_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Hungary_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Ireland_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Iceland_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Italy_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Lithuania_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Luxembourg_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Latvia_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,North Macedonia_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Malta_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Netherlands_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Norway_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Poland_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Portugal_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Romania_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Serbia_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Sweden_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Slovenia_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Slovakia_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent,Switzerland_trend_Employment_in_the_EGSS_as_a_share_of_total_employment_Percent
2014,4.0279027903,2.1738458171,1.4509104438,1.2099575734,,2.3697631452,1.272661147,2.3148015218,4.4885218827,1.3252038179,1.8655140776,5.1226693227,2.095574093,2.3827585536,,1.1767581817,2.3903133903,,2.641503739,3.1499291355,2.9384118727,,1.6633932618,1.538662991,,1.2074883987,1.957080425,1.9499687305,0.9341070644,2.3976858885,2.7024648832,,3.729361173
2015,3.9625160474,2.2356311947,1.474834509,1.3880465787,,2.3320560609,1.3060643995,2.5914790513,4.8447583882,1.4890678462,1.9283795689,5.2876092137,2.1269539624,2.3567303136,,1.1837062648,2.4686980609,,2.8217015039,2.8222781562,3.0679415073,,1.6131217341,1.5393687329,,1.1917407639,2.0396053838,1.8206246994,1.0362824817,2.5269696783,2.6764397462,,3.7515895615
2016,3.9549602591,2.2410967508,1.5186058476,1.5618692884,,2.2954444175,1.2702536282,2.6346744808,5.1384664639,1.3181086965,1.9634823039,5.4700631912,2.121482684,2.3505288977,,1.5346864473,4.6242713302,2.3460117075,2.8710097578,3.098534202,2.9618639287,,1.7089012899,1.6063867999,,1.3247700268,2.1100559999,1.7199036728,0.9249992372,2.6492532813,2.7630279017,,3.5711165288
2017,4.0306824249,2.2480474951,1.5607839824,1.6558355908,,2.2630102753,1.3084104764,2.7274192221,4.7772408418,1.5319016873,1.9488988997,5.4818827778,2.1576924448,2.3417109866,1.0516580264,1.7431084137,3.2816471784,2.384819252,3.1916390607,3.3957287304,3.01188501,,1.8516740146,1.6632075472,,1.3719889672,2.1477397284,1.6942880315,0.9408658859,2.7380929038,2.9849524522,,3.5445431966
2018,4.2419392484,2.249446816,1.6440762634,1.8031087789,2.6524510372,2.3143308709,1.3962832568,2.7369750254,4.5354980227,1.7352494656,2.1581671548,4.4939929599,2.2548679751,2.4269000517,0.9682083749,1.8657856846,2.4995064166,2.4145550528,3.1153573649,3.7043241312,2.6569898659,,1.5177878528,1.7121568209,,1.506830776,2.1635385811,1.8080057415,0.9581124907,2.8592005553,3.0271922263,1.3715856027,3.2911512375
2019,4.3064087545,2.3039615084,1.6887896236,1.8200064597,2.6923672395,2.3650018593,1.4506966064,2.6922731252,4.7588615704,1.8492369464,2.1258214403,4.7253120169,2.3398088061,2.5118299923,1.0077886007,1.8460504173,2.3982213439,2.4954278275,3.4816317137,4.1657134224,2.6460924538,0.2775939452,1.4507871743,1.7964483443,2.3150916784,1.6849257987,2.1820210424,1.8629862998,0.9979490341,2.8902172664,2.8931539337,1.4138369615,3.1570271261
2020,4.4281698575,2.4413130034,1.6819962667,1.9248824913,2.2965922966,2.7100778041,1.4812146955,2.7549354562,4.8382899337,1.7755664944,2.3696785404,4.8766409266,2.3810891953,2.5209958846,1.0134321244,1.876792278,2.4159751037,2.4319354332,3.4007363684,4.7030259335,2.9390892317,1.3756011791,1.4047485511,2.0594918102,3.0118194842,1.724927073,2.3773792731,1.8873714899,1.0631076236,2.9495798319,2.8957859867,1.9201607289,3.1448462534
2021,4.5187347911,2.4924196033,1.7379823694,2.0107263776,2.6381730748,2.7735242194,1.573040641,2.8278873267,5.1505283757,1.8831542515,2.5463793748,4.5607049855,2.5538731077,2.6753998626,0.9179095869,1.6775807429,2.3728900256,3.3845923716,3.9260215488,5.439572898,2.9269830036,2.6945737608,1.3163064833,2.0432301342,3.0155807365,1.7766767721,3.3647961913,1.9206284121,1.0725837716,3.0618831331,2.8746482622,2.0713003958,3.2475545611
2022,4.5782875297,,1.7676535782,2.1159273023,2.6990114195,2.8232653551,1.8490333881,2.8439525111,5.2676326188,2.5465924505,2.6359658413,5.0331777745,2.5836461482,2.7701607578,0.9831701655,1.6815762392,1.9574976122,4.5146377356,3.7362025595,5.6824345884,3.1976558103,2.3111170892,1.2402482577,2.0710100308,1.2388528508,2.0014904066,3.9426613986,2.1967207396,1.1100458648,3.0901094424,2.9112930047,2.032793639,3.2347677509
2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
